"Name","ParticleCount","MinLife","MaxLife","ParticleMinInterval","ParticleMaxInterval","ParticleMinLife","ParticleMaxLife","ParticleMinAngle","ParticleMaxAngle","ParticleAngleRelativeToParent","ParticleRandomAngle","ParticleMinRadius","ParticleMaxRadius","ParticleMinSpeed","ParticleMaxSpeed","ParticleStartZ","ParticleMinVelocityZ","ParticleMaxVelocityZ","ParticleGravity","ParticleMinTailLength","ParticleMaxTailLength","ParticleResource","ParticleExportName","RotateToDirection","LoopParticleClip","StartScale","EndScale","FadeOutDuration","Inertia","EnemyVersion"
"openChest_epic_loop1",8,300,300,10,50,300,1500,-180,,"true",,-40,50,,50,,,,,,,"sc/effects.sc","Death_purple_sparkle1",,"true",150,10,500,30,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle4",,,,,,,
"tesla_hit_spark",5,200,300,20,20,500,600,,360,,"true",1,1,50,100,40,60,100,-500,,,"sc/effects.sc","Death_blue_sparkle2","true","true",20,10,300,50,
"tesla_smoke_hit",4,50,100,1,5,500,700,-90,90,,"true",,,30,50,,80,120,,,,"sc/effects.sc","d2","true",,60,80,1200,100,
"tesla_spot_hit",1,,100,,,500,700,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,150,80,,,
"tesla_electric_hit",2,450,450,50,75,400,400,-360,360,,"true",1,2,25,30,23,,,,,,"sc/effects.sc","electricity","true",,60,50,,200,
"chr_wiz_hit_sparks",9,190,190,1,3,800,900,,360,,"true",1,1,60,65,20,200,300,-2000,,20,"sc/effects.sc","SparkleBlue","true",,50,1,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal4",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal2",,,,,,,
"chr_wiz_hit_fire",16,400,400,2,6,500,600,,360,,"true",-3,4,,5,,50,200,1250,1000,1000,"sc/effects.sc","FireParticle1","true",,90,40,400,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle3",,,,,,,
"chr_wiz_hit_smoke",34,100,100,1,1,800,1200,,360,,"true",1,2,10,25,,20,50,150,,,"sc/effects.sc","explosion_cloud_1","true","true",60,80,1500,,
"KingTower_destroyed_ground",1,,,,,800000,800000,,,,,,,,,,,,,,,"sc/building_tower.sc","Tower_destroyed_ground2",,,,,,,
"Spell_ligntning_smoke1",16,190,190,1,3,1000,1500,,360,,"true",2,3,30,40,42,25,25,,,,"sc/effects.sc","Smoke_puff_01","true",,35,55,800,10,
"Spell_lightning_Flash",1,,100,,5,100,150,,360,,,,,,,,,,,,,"sc/effects.sc","ExplosionGroundGlowBlue",,,80,80,50,,
"Spell_lightning_bolt",1,1,1,,,300,300,,,,,1,1,,,11,,,,,,"sc/effects.sc","lightning_bolt",,,100,100,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","lightning_bolt2",,,,,,,
"Spell_lightning_hitSpot",1,,100,,,1500,1500,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,200,200,500,,
"Spell_lightning_hitSpot2",1,,100,,,1500,1500,,,,,,,,,,,,,,,"sc/effects.sc","Deco_small_glow2",,,100,100,500,,
"Spell_lightning_sparks",10,300,300,10,10,400,600,,360,,"true",1,1,80,150,35,150,150,,,,"sc/effects.sc","Sparkle","true",,80,80,250,20,
"Spell_zap_smoke1",8,190,190,1,3,1000,1200,,360,,"true",1,2,10,25,42,10,20,,,,"sc/effects.sc","Smoke_puff_01","true",,25,35,1000,10,
"Spell_zap_hitSpot",1,,100,,,1500,2000,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,200,200,500,,
"Spell_zap_hitSpot2",1,,100,,,1000,1000,,,,,,,,,,,,,,,"sc/effects.sc","Deco_small_glow2",,,80,40,500,,
"Spell_zap_sparks",6,300,300,10,10,400,600,,360,,"true",1,1,50,150,35,50,100,-1000,,,"sc/effects.sc","Death_blue_sparkle1","true",,20,30,400,20,
"Spell_zap_Flash",1,,100,,5,100,150,,360,,,,,,,,,,,,,"sc/effects.sc","ExplosionGroundGlowBlue",,,40,40,50,,
"Spell_zap_bolt",1,1,1,,,200,250,,,,,1,1,,,11,,,,,,"sc/effects.sc","zap_bolt1",,,100,100,250,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","zap_bolt2",,,,,,,
"MegaBomb_destroyed_ground",1,,,,,5000,5000,,,,,,,,,,,,,,,"sc/building_mega_bomb.sc","bomb_destruction_state",,,100,100,1000,,
"MegaBomb_explode_smoke",10,150,200,1,3,1000,2000,,360,"true",,,2,10,25,33,90,100,,,50,"sc/effects.sc","smoke_cloud_1","true","true",200,50,1200,,
"MegaBomb_explode_debris",14,350,350,,10,600,2000,,360,"true","true",2,4,50,60,,300,1000,-3500,,,"sc/effects.sc","Rock1Particle","true",,80,90,,,
"MegaBomb_explode_debris2",5,350,350,,10,600,2000,,360,"true","true",2,4,50,60,,300,600,-1000,,,"sc/effects.sc","towerExplode_wall2","true",,80,80,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","towerExplode_wall1",,,,,,,
"MegaBomb_explosion_glow",8,100,100,1,1,450,800,,360,,"true",1,5,,,11,,,50,,,"sc/effects.sc","Deco_fireplace_glow","true",,120,100,1000,,
"MagaBomb_FireRing",16,120,250,,,200,550,100,360,,"true",-1,2,60,120,,10,150,,60,200,"sc/effects.sc","FireParticle1",,,110,50,50,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","fireball_trail2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","fireball_trail2",,,,,,,
"Spell_lightning_Rock_debris",10,400,400,,5,800,1200,,360,,"true",,,80,100,9,200,300,-1000,,,"sc/effects.sc","Rock1Particle",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock2Particle",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock3Particle",,,,,,,
"Spell_lightning_Rock_debris2",5,400,400,,5,800,1200,,360,,"true",,,80,100,9,200,300,-2500,,,"sc/effects.sc","towerExplode_wall2","true",,80,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","towerExplode_wall3",,,,,,,
"Spell_lightning_electric",3,800,1200,10,50,150,200,-180,,,"true",-6,6,10,30,,,,,,,"sc/effects.sc","electricity","true","true",60,70,300,30,
"chest_landing_puff",11,190,190,1,3,2200,2500,,360,,"true",1,5,,30,,50,150,,,,"sc/effects.sc","Smoke_puff_01","true",,40,90,6000,30,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Smoke_puff_02",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Smoke_puff_03",,,,,,,
"chest_landing_goldDust",8,800,800,5,10,600,800,,360,,"true",-8,8,15,30,,100,200,35,,,"sc/effects.sc","golden_dust",,,35,10,500,1,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","golden_dust2",,,,,,,
"chest_landing_magicDust",16,800,800,5,10,600,800,,360,,"true",-8,8,15,30,,100,200,35,,,"sc/effects.sc","inferno_hit",,,50,10,500,1,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle2",,,,,,,
"chest_landing_goldDust2",8,800,800,5,10,600,800,,360,,"true",-8,8,15,30,,100,200,35,,,"sc/effects.sc","golden_dust",,,15,10,500,1,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","golden_dust2",,,,,,,
"chest_landing_metalHit",16,250,250,1,10,1000,1200,,360,"true","true",,2,50,80,,100,150,-1000,,,"sc/effects.sc","d4","true",,80,100,2000,10,
"chest_landing_goldFlash",2,,,,,400,500,,,"true",,,,,,,,,,,,"sc/effects.sc","Deco_small_glow","true",,100,200,,,
"chest_landing_magicFlash",1,,,,,400,500,,360,"true",,,,,,,,,,,,"sc/effects.sc","rage_effect_glow1",,,50,80,300,,
"chest_landing_magicBurst",15,1,1,,1,900,1800,,360,"true",,,10,,100,,,,200,,,"sc/effects.sc","inferno_hit",,"true",100,10,300,50,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle2",,,,,,,
"chest_landing_goldBurst",15,1,1,,1,900,1800,,360,"true",,,10,,100,,,,200,,,"sc/effects.sc","golden_dust2",,"true",50,10,300,50,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","golden_dust",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Deco_small_glow2",,,,,,,
"openChest_get_rare",25,200,200,,10,400,550,,360,,"true",1,5,200,250,40,150,250,-50,,,"sc/effects.sc","Sparkle",,,200,300,,,
"balloon_die_puff",11,,,,,800,1000,,360,,"true",2,3,15,20,97,100,120,25,,,"sc/effects.sc","tower_destr_cloud_1",,,,,900,,
"ballon_die_smoke",17,100,100,1,1,1000,1500,,360,,"true",,3,10,35,157,50,60,50,,,"sc/effects.sc","smoke_cloud_1","true","true",60,125,3000,25,
"FlameEmitterSlow",8,,,170,200,1600,1800,,,,,,,,,50,50,60,,,,"sc/effects.sc","FireParticle1",,,100,60,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle2",,,100,60,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle3",,,100,60,,,
"xp_levelup_flash",8,,,,,500,800,,360,"true",,,,100,,,,,,,,"sc/effects.sc","Death_blue_smoke",,,50,300,600,,
"xp_levelup_burst",23,1,1,,1,900,1800,,360,"true",,,10,100,250,,,,100,,,"sc/effects.sc","Death_blue_sparkle2",,"true",100,10,300,50,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle4",,,,,,,
"xp_levelup_sparks",16,800,800,5,10,600,800,,360,,"true",-8,8,50,80,,100,200,35,,,"sc/effects.sc","Death_blue_sparkle2",,,50,10,500,1,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle3",,,,,,,
"Inferno_loop1",8,410,800,1,10,300,700,,360,"true","true",2,2,,5,,,100,60,,,"sc/effects.sc","FireParticle1_small",,"true",150,50,300,25,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle2_small",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle3_small",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","fireplace_particle",,,,,,,
"LegendaryArena_torch_fire1",11,1,1,1,10,200,500,,360,,"true",-1,1,1,1,44,10,30,200,,,"sc/effects.sc","FireParticle1","true","true",50,,900,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle2",,,,,,,
"Get_xp_sparkle",1,800,800,1,3,500,800,-30,80,"true",,,3,10,30,,,50,100,,,"sc/effects.sc","Death_blue_sparkle1",,"true",80,10,600,25,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle4",,,,,,,
"LegendaryArena_fx1",7,1,1,1,10,200,400,,360,,"true",,4,1,1,,10,30,400,,,"sc/effects.sc","FireParticle1_blue","true",,130,50,3900,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle2_blue",,,,,,,
"ice_wiz_hit_ground",3,80,80,1,3,3000,4000,,360,"true",,-1,3,10,20,,,,-1700,,,"sc/effects.sc","ice_wiz_hit_ground1",,,120,40,2000,100,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","ice_wiz_hit_ground2",,,,,,,
"ice_wiz_hit_burst",11,70,70,,5,200,500,,360,"true","true",2,2,,150,26,100,500,-1200,,,"sc/effects.sc","ice_particle1","true",,70,10,100,25,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","ice_wiz_snow_particle",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","ice_particle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","ice_particle3",,,,,,,
"ice_wiz_hit_puff",12,1,1,,,800,1300,,360,,"true",-1,,40,70,59,20,,,,,"sc/effects.sc","d1","true",,150,160,1650,100,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d4",,,,,,,
"ice_wiz_hit_flakes",15,100,600,5,5,600,1500,,360,"true","true",-6,6,,20,100,,150,-100,,,"sc/effects.sc","snowflake_anim","true","true",40,10,250,,
"openChest_legendary_stars1",45,350,500,1,10,300,800,-180,,"true",,,10,,400,44,300,900,-1000,,,"sc/effects.sc","get_legend_spark1",,"true",80,,300,30,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","get_legend_spark3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","get_legend_spark5",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","get_legend_spark4",,,,,,,
"openChest_legendary_loop1",20,,,20,50,900,2000,-180,360,"true","true",-15,10,,80,,,,,,,"sc/effects.sc","FireParticle1_rainbow","true","true",200,400,1000,30,
"openChest_get_legendary_flash",1,,100,,,150,150,,360,"true",,,,,,103,,,,,,"sc/effects.sc","get_legend_spark1",,,,600,180,,
"chest_landing_puff_giant",20,190,190,1,3,2200,2500,,360,,"true",3,8,30,35,,10,150,,,,"sc/effects.sc","Smoke_puff_01","true",,40,90,6000,30,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Smoke_puff_02",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Smoke_puff_03",,,,,,,
"chest_landing_giantBurst",15,1,1,,1,900,1800,,360,"true","true",,10,,100,,,,200,,,"sc/effects.sc","get_legend_spark1","true","true",30,,300,50,
"chest_landing_giantBurst2",22,190,190,1,3,800,900,,360,,"true",1,3,70,80,73,500,900,-2000,,20,"sc/effects.sc","Grassland_1x1_rock1","true",,35,1,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","get_legend_spark1",,,,,,,
"chest_landing_puff_mega",30,190,190,1,3,2200,2500,,360,,"true",3,8,100,150,,10,80,,,,"sc/effects.sc","Smoke_puff_01","true",,40,90,6000,250,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Smoke_puff_02",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Smoke_puff_03",,,,,,,
"chest_landing_megaFlash",1,,,,,250,250,,,,,,,,,,,,,,,"sc/effects.sc","Deco_fireplace_glow",,,,300,,,
"chest_landing_megaDust",20,800,800,5,10,600,800,,360,,"true",5,8,25,100,,200,300,35,,,"sc/effects.sc","Death_purple_sparkle4",,,100,,500,1,
"chest_landing_megaBurst",35,1,1,,1,900,1800,,360,"true","true",,10,50,100,,,,200,,,"sc/effects.sc","inferno_spark","true","true",100,,300,50,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle4",,,,,,,
"ice_wizard_deploy_flakes",15,,,,,600,1000,,360,"true","true",-8,8,,70,,200,600,-500,,,"sc/effects.sc","snowflake_anim","true","true",40,10,250,,
"FlameArrowEmitter_small_zeroZ",10,1,1,1,50,200,500,,,,,,,,,,90,100,,,,"sc/effects.sc","FireParticle1_small",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle2_small",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle3_small",,,,,,,
"FireArrow_hit_ground_loop",30,1200,1400,10,80,200,600,,,,"true",,,,,,30,60,200,,,"sc/effects.sc","FireParticle1_small",,"true",90,40,300,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle2_small",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle3_small",,,,,,,
"Poison_skull1",15,3000,3000,140,300,1500,2300,,360,,"true",5,15,,,,,20,1,,,"sc/effects.sc","poison_skull",,"true",1,150,1500,,
"Poison_big_skull",9,,,10,50,1500,2300,,360,"true","true",-8,8,1,10,,,,-700,,,"sc/effects.sc","poison_skull",,,50,280,4500,,
"ice_wiz_emitter_trail",50,1200,1200,10,10,600,800,-360,360,,"true",-1,1,1,2,,25,50,20,,,"sc/effects.sc","FireParticle1_blue","true",,25,40,700,100,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","snowflake_anim",,,,,,,
"ice_wiz_trail_glow",43,800,800,5,10,500,800,-360,360,,"true",-2,2,1,10,,50,200,35,,,"sc/effects.sc","Smoke_puff_03",,,,15,1200,1,
"ice_wiz_trail_shards",45,1200,1200,10,10,300,500,,360,,"true",-2,2,50,60,,100,200,-2500,,,"sc/effects.sc","ice_particle1","true",,25,40,300,50,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","ice_particle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","ice_particle3",,,,,,,
"Princess_arrow_hit_ground",1,1,200,,,1500,1900,,,,"true",,,,,,,,,,,"sc/effects.sc","Arrow_enemy_ground_anim_1",,"true",,,500,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Arrow_enemy_ground_anim_2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Arrow_enemy_ground_anim_3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Arrow_enemy_ground_anim_4",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Arrow_enemy_ground_anim_5",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Arrow_enemy_ground_anim_6",,,,,,,
"Princess_arrow_hit_ground_loop",30,1200,1400,10,80,200,600,,,,"true",,,,,,30,60,200,,,"sc/effects.sc","FireParticle1_small",,"true",90,40,300,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle2_small",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle3_small",,,,,,,
"Princess_arrow_emitter_small_zeroZ",10,1,1,1,50,200,500,,,,,,,,,,90,100,,,,"sc/effects.sc","FireParticle1_small",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle2_small",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle3_small",,,,,,,
"Zap_hit_area",16,980,980,5,15,200,600,-360,360,"true","true",-7,7,,30,11,,50,,,,"sc/effects.sc","electricity","true",,80,40,600,200,
"guard_shield_down",1,180,180,1,3,8000,8000,,360,"true","true",-2,2,45,55,,,,,,,"sc/effects.sc","shield_red_particle_01",,,80,70,250,30,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","shield_red_particle_02",,,,,,,
"guard_shield_down_red",1,180,180,1,3,8000,8000,,180,,"true",-2,2,20,30,40,,,,,,"sc/effects.sc","shield_red_particle_01",,,80,70,250,15,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","shield_red_particle_02",,,,,,,
"guard_shield_down_sparks",20,150,150,,10,200,350,90,250,"true","true",3,3,350,400,46,,,,100,300,"sc/effects.sc","SparkleBlue","true",,100,100,,30,
"guard_die_particle_helmet",1,1,1,,1,7000,7000,,360,,"true",,,50,75,74,,,,,,"sc/effects.sc","helmet_blue_particle_01",,"true",80,90,400,60,"guard_die_particle_helmet_red"
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","helmet_blue_particle_02",,,,,,,
"guard_die_particle_helmet_red",1,1,1,,1,7000,7000,,360,,"true",,,50,75,50,,,,,,"sc/effects.sc","helmet_red_particle_01",,"true",80,90,400,60,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","helmet_red_particle_02",,,,,,,
"guard_die_particle_stick",1,1,1,,1,7000,7000,,360,"true","true",-2,2,50,70,,,,,,,"sc/effects.sc","stick_red_particle_01",,,75,80,400,60,
