"TID","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT"
"TID_CHEST_DESCRIPTION_MULTIPLE_EPICS","Contains <c38c9ff>gold</c> and <c38c9ff><CARD_COUNT> cards</c>.\nAt least <c38c9ff><EPIC_COUNT> epics</c> and <c38c9ff><RARE_COUNT> rares</c>.","Contient de l'<c38c9ff>or</c> et <c38c9ff><CARD_COUNT> cartes</c>.\nAu moins <c38c9ff><EPIC_COUNT> épiques</c> et <c38c9ff><RARE_COUNT> rares</c>.","Enthält <c38c9ff>Gold</c> und <c38c9ff><CARD_COUNT> Karten</c>.\nMindestens <c38c9ff><EPIC_COUNT> epische</c> und <c38c9ff><RARE_COUNT> seltene</c>.","Contiene <c38c9ff>oro</c> y <c38c9ff><CARD_COUNT> cartas</c>.\n(Al menos <c38c9ff><EPIC_COUNT> épicas</c> y <c38c9ff><RARE_COUNT> especiales</c>).","Contiene <c38c9ff>oro</c> e <c38c9ff><CARD_COUNT> carte</c>.\nAlmeno <c38c9ff><EPIC_COUNT> epiche</c> e <c38c9ff><RARE_COUNT> rare</c>.","Bevat <c38c9ff>goud</c> en <c38c9ff><CARD_COUNT> kaarten</c>.\nTen minste <c38c9ff><EPIC_COUNT> epische</c> en <c38c9ff><RARE_COUNT> zeldzame</c>.","Inneholder <c38c9ff>gull</c> og <c38c9ff><CARD_COUNT> kort</c>.\nMinst <c38c9ff><EPIC_COUNT> episke</c> og <c38c9ff><RARE_COUNT> sjeldne</c>.","<c38c9ff>Altın</c> ve <c38c9ff><CARD_COUNT> kart</c> içerir.\nEn az <c38c9ff><EPIC_COUNT> destansı</c> ve <c38c9ff><RARE_COUNT> ender</c>.","<c38c9ff>ゴールド</c>と<c38c9ff>カード<CARD_COUNT>枚入り。</c>\n<c38c9ff><EPIC_COUNT>枚はスーパーレア</c>、<c38c9ff><RARE_COUNT>枚はレア</c>確定。","<c38c9ff>골드</c> 및 <c38c9ff>카드 <CARD_COUNT>장이 들어있습니다</c>.\n최소한 <c38c9ff>영웅 카드 <EPIC_COUNT>장</c> 및 <c38c9ff>희귀 카드 <RARE_COUNT>장이 포함됩니다</c>.","Содержит <c38c9ff>золото</c> и <c38c9ff>карты (<CARD_COUNT> шт.)</c>.\nМинимум <c38c9ff>эпические —<EPIC_COUNT> и</c><c38c9ff>редкие — <RARE_COUNT></c>.","تحتوي على <c38c9ff>الذهب</c> و<c38c9ff><CARD_COUNT>من البطاقات</c>.\nعلى الأقل <c38c9ff><EPIC_COUNT> من البطاقات الممتازة</c> و<c38c9ff><RARE_COUNT> من البطاقات النادرة</c>.","Contém <c38c9ff>ouro</c> e <c38c9ff><CARD_COUNT> cartas</c>.\nPelo menos <c38c9ff><EPIC_COUNT> épicas</c> e <c38c9ff><RARE_COUNT> raras</c>.","内含<c38c9ff>金币</c>和<c38c9ff><CARD_COUNT>张卡牌</c>。\n至少包含<c38c9ff><EPIC_COUNT>张史诗卡牌</c>和<c38c9ff><RARE_COUNT>张稀有卡牌</c>。","包含<c38c9ff>金幣</c>和<c38c9ff><CARD_COUNT> 張卡片</c>。\n可從中獲得至少 <c38c9ff><EPIC_COUNT> 張史詩卡片</c>以及 <c38c9ff><RARE_COUNT> 張稀有卡片</c>。"
"TID_CHEST_DESCRIPTION_MULTIPLE_RARES","Contains <c38c9ff>gold</c> and <c38c9ff><CARD_COUNT> cards</c>.\nAt least <c38c9ff><RARE_COUNT> rares</c>.","Contient de l'<c38c9ff>or</c> et <c38c9ff><CARD_COUNT> cartes</c>.\nAu moins <c38c9ff><RARE_COUNT> rares</c>.","Enthält <c38c9ff>Gold</c> und <c38c9ff><CARD_COUNT> Karten</c>.\nMindestens <c38c9ff><RARE_COUNT> seltene</c>.","Contiene <c38c9ff>oro</c> y <c38c9ff><CARD_COUNT> cartas</c>.\n(Al menos <c38c9ff><RARE_COUNT> especiales</c>).","Contiene <c38c9ff>oro</c> e <c38c9ff><CARD_COUNT> carte</c>.\nAlmeno <c38c9ff><RARE_COUNT> rare</c>.","Bevat <c38c9ff>goud</c> en <c38c9ff><CARD_COUNT> kaarten</c>.\nTen minste <c38c9ff><RARE_COUNT> zeldzame</c>.","Inneholder <c38c9ff>gull</c> og <c38c9ff><CARD_COUNT> kort</c>.\nMinst <c38c9ff><RARE_COUNT> sjeldne</c>.","<c38c9ff>Altın</c> ve <c38c9ff><CARD_COUNT> kart</c> içerir.\nEn az <c38c9ff><RARE_COUNT> ender</c>.","<c38c9ff>ゴールド</c>と<c38c9ff>カード<CARD_COUNT>枚入り。</c>\n<c38c9ff><RARE_COUNT>枚はレア</c>確定。","<c38c9ff>골드</c> 및 <c38c9ff>카드 <CARD_COUNT>장이 들어있습니다</c>.\n최소한 <c38c9ff>희귀 카드가 <RARE_COUNT>장 포함됩니다</c>.","Содержит <c38c9ff>золото</c> и <c38c9ff>карты (<CARD_COUNT> шт.)</c>.\nРедких минимум <c38c9ff><RARE_COUNT></c>.","تحتوي على <c38c9ff>الذهب</c> و<c38c9ff><CARD_COUNT>من البطاقات</c>.\nعلى الأقل <c38c9ff><RARE_COUNT> من البطاقات النادرة</c>.","Contém <c38c9ff>ouro</c> e <c38c9ff><CARD_COUNT> cartas</c>.\nPelo menos <c38c9ff><RARE_COUNT> raras</c>.","内含<c38c9ff>金币</c>和<c38c9ff><CARD_COUNT>张卡牌</c>。\n至少包含<c38c9ff><RARE_COUNT>张稀有卡牌</c>。","包含<c38c9ff>金幣</c>和 <c38c9ff><CARD_COUNT> 張卡片</c>。\n可從中獲得至少 <c38c9ff><RARE_COUNT> 張稀有卡片</c>。"
"TID_CHEST_DESCRIPTION_ONE_EPIC","Contains <c38c9ff>gold</c> and <c38c9ff><CARD_COUNT> cards</c>.\nAt least <c38c9ff>1 epic</c> and <c38c9ff><RARE_COUNT> rares</c>.","Contient de l'<c38c9ff>or</c> et <c38c9ff><CARD_COUNT> cartes</c>.\nAu moins <c38c9ff>1 épique</c> et <c38c9ff><RARE_COUNT> rares</c>.","Enthält <c38c9ff>Gold</c> und <c38c9ff><CARD_COUNT> Karten</c>.\nMindestens <c38c9ff>1 epische</c> und <c38c9ff><RARE_COUNT> seltene</c>.","Contiene <c38c9ff>oro</c> y <c38c9ff><CARD_COUNT> cartas</c>.\n(Al menos <c38c9ff>1 épica</c> y <c38c9ff><RARE_COUNT> especiales</c>).","Contiene <c38c9ff>oro</c> e <c38c9ff><CARD_COUNT> carte</c>.\nAlmeno <c38c9ff>1 epica</c> e <c38c9ff><RARE_COUNT> rare</c>.","Bevat <c38c9ff>goud</c> en <c38c9ff><CARD_COUNT> kaarten</c>.\nTen minste <c38c9ff>1 epische</c> en <c38c9ff><RARE_COUNT> zeldzame</c>.","Inneholder <c38c9ff>gull</c> og <c38c9ff><CARD_COUNT> kort</c>.\nMinst <c38c9ff>1 episk</c> og <c38c9ff><RARE_COUNT> sjeldne</c>.","<c38c9ff>Altın</c> ve <c38c9ff><CARD_COUNT> kart</c> içerir.\nEn az <c38c9ff>1 destansı</c> ve <c38c9ff><RARE_COUNT> ender</c>.","<c38c9ff>ゴールド</c>と<c38c9ff>カード<CARD_COUNT>枚入り。</c>\n<c38c9ff>1枚はスーパーレア</c>、<c38c9ff><RARE_COUNT>枚はレア</c>確定。","<c38c9ff>골드</c> 및 <c38c9ff>카드 <CARD_COUNT>장이 들어있습니다</c>.\n최소한 <c38c9ff>영웅 카드 1장</c> 및 <c38c9ff>희귀 카드 <RARE_COUNT>장이 포함됩니다</c>.","Содержит <c38c9ff>золото</c> и <c38c9ff>карты (<CARD_COUNT> шт.)</c>.\nМинимум <c38c9ff>1 эпическая и</c><c38c9ff> редкие (<RARE_COUNT> шт.)</c>.","تحتوي على <c38c9ff>الذهب</c> و<c38c9ff><CARD_COUNT> من البطاقات</c>.\nعلى الأقل <c38c9ff>بطاقة ممتازة</c> و<c38c9ff><RARE_COUNT> من البطاقات النادرة</c>.","Contém <c38c9ff>ouro</c> e <c38c9ff><CARD_COUNT> cartas</c>.\nPelo menos <c38c9ff>1 épica</c> e <c38c9ff><RARE_COUNT> raras</c>.","内含<c38c9ff>金币</c>和<c38c9ff><CARD_COUNT>张卡牌</c>。\n至少包含<c38c9ff>1张史诗卡牌</c>和<c38c9ff><RARE_COUNT>张稀有卡牌</c>。","包含<c38c9ff>金幣</c>和<c38c9ff><CARD_COUNT> 張卡片</c>。\n可從中獲得至少 <c38c9ff>1 張史詩卡片</c>以及 <c38c9ff><RARE_COUNT> 張稀有卡片</c>。"
"TID_CHEST_DESCRIPTION_ONE_RARE","Contains <c38c9ff>gold</c> and <c38c9ff><CARD_COUNT> cards</c>.\nAt least <c38c9ff>1 rare</c>.","Contient de l'<c38c9ff>or</c> et <c38c9ff><CARD_COUNT> cartes</c>.\nAu moins <c38c9ff>1 rare</c>.","Enthält <c38c9ff>Gold</c> und <c38c9ff><CARD_COUNT> Karten</c>.\nMindestens <c38c9ff>1 seltene</c>.","Contiene <c38c9ff>oro</c> y <c38c9ff><CARD_COUNT> cartas</c>.\n(Al menos <c38c9ff>1 especial</c>).","Contiene <c38c9ff>oro</c> e <c38c9ff><CARD_COUNT> carte</c>.\nAlmeno <c38c9ff>1 rara</c>.","Bevat <c38c9ff>goud</c> en <c38c9ff><CARD_COUNT> kaarten</c>.\nTen minste <c38c9ff>1 zeldzame</c>.","Inneholder <c38c9ff>gull</c> og <c38c9ff><CARD_COUNT> kort</c>.\nMinst <c38c9ff>1 sjeldent</c>.","<c38c9ff>Altın</c> ve <c38c9ff><CARD_COUNT> kart</c> içerir.\nEn az <c38c9ff>1 ender</c>.","<c38c9ff>ゴールド</c>と<c38c9ff>カード<CARD_COUNT>枚入り。</c>\n<c38c9ff>1枚はレア</c>確定。","<c38c9ff>골드</c> 및 <c38c9ff>카드 <CARD_COUNT>장이 들어있습니다</c>.\n최소한 <c38c9ff>희귀 카드가 1장 포함됩니다</c>.","Содержит <c38c9ff>золото</c> и <c38c9ff>карты (<CARD_COUNT> шт.)</c>.\nМинимум <c38c9ff>1 редкая</c>.","تحتوي على <c38c9ff>الذهب</c> و<c38c9ff><CARD_COUNT>من البطاقات</c>.\nعلى الأقل <c38c9ff>بطاقة نادرة</c>.","Contém <c38c9ff>ouro</c> e <c38c9ff><CARD_COUNT> cartas</c>.\nPelo menos <c38c9ff>1 rara</c>.","内含<c38c9ff>金币</c>和<c38c9ff><CARD_COUNT>张卡牌</c>。\n至少包含<c38c9ff>1张稀有卡牌</c>。","包含<c38c9ff>金幣</c>和 <c38c9ff><CARD_COUNT> 張卡片</c>。\n可從中獲得至少 <c38c9ff>1 張稀有卡片</c>。"
"TID_DIAMOND_TOOL_TIP","<c00cc17>Gems</c> can be used to buy gold or to speed up unlocking chests.","Les <c00cc17>gemmes</c> permettent d'acheter de l'or ou d'accélérer l'ouverture des coffres.","Mit <c00cc17>Juwelen</c> kannst du Gold kaufen oder das Öffnen von Truhen beschleunigen.","Las <c00cc17>gemas</c> sirven para comprar oro y para acelerar el desbloqueo de los cofres.","Le <c00cc17>gemme</c> possono essere usate per acquistare oro o accelerare lo sblocco di bauli.","Met <c00cc17>edelstenen</c> kun je goud kopen of het ontgrendelen van kisten versnellen.","<c00cc17>Juveler</c> kan brukes til å kjøpe gull eller øke hastigheten på opplåsing av kister.","<c00cc17>Taşlar</c>, altın satın almak ya da sandıkların kilidini açmayı hızlandırmak için kullanılır.","<c00cc17>エメラルド</c>は、ゴールドの購入のほか、宝箱をすぐに開きたい時にも使用できます。","<c00cc17>보석</c>은 골드를 구매하거나 상자를 빨리 열 때에 사용합니다.","<c00cc17>Кристаллы</c> используют чтобы покупать золото и быстрее открывать сундуки.","يمكن استخدام <c00cc17>الجواهر</c> لشراء الذهب أو لزيادة سرعة فتح الصناديق.","As <c00cc17>gemas</c> podem ser usadas para comprar ouro ou acelerar a abertura de baús.","<c00cc17>宝石</c>可以用来购买金币或加速打开宝箱。","<c00cc17>寶石</c>可以用來購買金幣或是加速解鎖寶箱的進度。"
"TID_DONATE_COOLDOWN_INFO","Daily Donations\n\nValue donated: <capacity>/<maxcapacity>\nResets in: <timestamp>","Dons quotidiens\n\nValeur donnée : <capacity>/<maxcapacity>\nRéinitialisation dans : <timestamp>","Tägliche Spenden\n\nGespendeter Wert: <capacity>/<maxcapacity>\nWird zurückgesetzt in: <timestamp>","Donaciones diarias\n\nValor donado: <capacity>/<maxcapacity>\nSe restablece en <timestamp>.","Donazioni giornaliere\n\nValore donato: <capacity>/<maxcapacity>\nSi azzera tra: <timestamp>","Dagelijkse donaties\n\nGedoneerde waarde: <capacity>/<maxcapacity>\nReset over: <timestamp>","Daglige donasjoner\n\nVerdi gitt bort: <capacity>/<maxcapacity>\nNullstilles om: <timestamp>","Günlük Bağışlar\n\nBağışlanan değer: <capacity>/<maxcapacity>\nSıfırlanmasına: <timestamp>","本日の寄付\n\n寄付数：<capacity>/<maxcapacity>\nリセットまで：<timestamp>","일일 지원\n\n지원한 값: <capacity>/<maxcapacity>\n초기화까지: <timestamp>","Ежедневная помощь\n\nКоличество пожертвований: <capacity>/<maxcapacity>\nСброс через: <timestamp>","التبرعات اليومية\n\nالقيمة المتبرع بها: <capacity>/<maxcapacity>\nإعادة التعيين خلال: <timestamp>","Doações diárias\n\nValor doado: <capacity>/<maxcapacity>\nReinicia em: <timestamp>.","每日捐赠数量\n\n捐赠价值：<capacity>/<maxcapacity>\n重置倒计时：<timestamp>","每日捐贈\n\n已捐贈：<capacity>/<maxcapacity>\n重置倒計時：<timestamp>"
"TID_DONATE_ERROR_CANNOT_DONATE_ANYTHING","You can only donate <amount> cards","Vous pouvez donner <amount> cartes seulement.","Du kannst nur <amount> Karten spenden.","Solo puedes donar <amount> cartas.","Puoi donare solo <amount> carte","Je kunt maar <amount> kaarten doneren","Du kan bare gi bort <amount> kort","Yalnızca <amount> kart bağışlayabilirsin","寄付できるカードは<amount>枚までです","카드는 <amount>장만 지원 가능합니다.","Ты можешь пожертвовать не больше (<amount>) карт","يمكنك التبرع بـ <amount> من البطاقات فقط","Você só pode doar <amount> cartas.","您只能捐赠<amount>张卡牌","您只能捐贈<amount>張卡牌"
"TID_DONATE_ERROR_CANNOT_DONATE_ANYTHING_SINGLE","You can only donate 1 card","Vous pouvez donner 1 carte seulement.","Du kannst nur 1 Karte spenden.","Solo puedes donar 1 carta.","Puoi donare solo 1 carta","Je kunt maar 1 kaart doneren","Du kan bare gi bort 1 kort","Yalnızca 1 kart bağışlayabilirsin","寄付できるカードは1枚だけです","카드는 1장만 지원 가능합니다.","Ты можешь пожертвовать 1 карту","يمكنك التبرع ببطاقة واحدة فقط","Você só pode doar 1 carta.","您只能捐赠1张卡牌","你只能捐贈 1 張卡片"
"TID_DONATE_ERROR_CANNOT_DONATE_YOURSELF","You cannot donate to yourself","Vous ne pouvez pas faire de don à vous-même.","Du kannst nicht an dich selbst spenden.","No puedes donarte cartas a ti.","Non puoi donare a te stesso","Je kunt niet aan jezelf doneren","Du kan ikke gi bort til deg selv","Kendine bağış yapamazsın","自分には寄付できません","자기 자신에게 지원할 수 없습니다.","Нельзя жертвовать себе же","لا يمكنك التبرع لنفسك","Você não pode doar para si mesmo.","您无法向自己捐赠","您無法向自己捐贈卡牌"
"TID_DONATE_ERROR_COOLDOWN","Your daily donation limit has been reached","Vous avez atteint la limite quotidienne de dons.","Dein tägliches Spendenlimit wurde erreicht.","Has alcanzado el límite diario de donación.","Hai raggiunto il limite giornaliero di donazioni","Je dagelijkse donatielimiet is bereikt","Du har nådd den daglige donasjonsgrensen","Günlük bağış limitini doldurdun","1日の寄付数の上限に達しました","일일 지원 한도에 도달했습니다.","Превышен лимит ежедневной помощи","وصلت إلى حدود التبرع اليومي الخاصة بك","Seu limite diário de doações foi atingido.","您已达到每日捐赠上限","您已達到每日捐贈上限"
"TID_DONATE_ERROR_JOIN_COOLDOWN","New members have limited donations","Les nouveaux membres ont un nombre de dons limité.","Neue Mitglieder können nur begrenzt spenden.","Los miembros nuevos tienen un límite de donación.","I nuovi membri hanno un limite alle donazioni","Nieuwe leden beschikken over beperkte donaties","Nye medlemmer har begrenset med donasjoner","Yeni üyelerin bağışları sınırlıdır","新メンバーは寄付できる枚数が制限されます","신규 클랜원에게는 지원 한도가 적용됩니다.","Помощь от новых игроков ограничена","الأعضاء الجدد لهم تبرعات محدودة","Novos membros têm doações limitadas.","新成员暂时不能捐赠卡牌","新成員可捐贈的卡牌有限"
"TID_DONATE_ERROR_NOT_ENOUGH_DAILY_CAPACITY","Your daily donation limit allows only commons","Votre limite quotidienne de dons n'autorise que les cartes communes.","Dein tägliches Spendenlimit erlaubt nur gewöhnliche Karten.","Solo puedes donar cartas comunes.","Il tuo limite giornaliero di donazioni permette solo comuni","Je dagelijkse donatielimiet staat alleen gewone kaarten toe","Den daglige donasjonsgrensen din tillater bare vanlige kort","Günlük bağış limitin yalnızca sıradan kartlara izin veriyor","1日の寄付数の制限によりノーマルしか選べません","일일 지원은 일반 카드만 가능합니다.","Ежедневный лимит помощи позволяет жертвовать только обычные","حدود التبرع اليومي الخاصة بك تسمح بالبطاقات العادية فقط","Seu limite diário de doações permite apenas cartas comuns.","您的每日捐赠仅允许普通卡牌","您的每日捐贈僅限普通卡"
"TID_DONATION_COOLDOWN","Donation cooldown:","Délai d'attente :","Spendenabklingzeit:","Tiempo de espera:","Ricarica donazioni:","Afkoeltijd donatie:","Ventetid før neste donasjon:","Bağış bekleme süresi:","寄付可能な間隔：","지원 대기 시간:","Время перезарядки пожертвований:","فترة هدوء التبرع:","Tempo de espera de doação:","捐赠冷却：","捐贈冷卻："
"TID_DONATIONS","Donations/week:","Dons/semaine :","Spenden/Woche:","Donaciones/semana","Donazioni/settimana:","Donaties/week:","Donasjoner/uke:","Bağış/hafta:","寄付数/週：","주당 지원량","Пожертвования/неделю","التبرعات/الأسبوع","Doações/semana:","每周捐赠数量：","每週捐贈："
"TID_DONATIONS_WEEK","Donations/Week","Dons/semaine","Spenden/Woche","Donaciones/semana","Donazioni/settimana","Donaties/week","Donasjoner/uke","Bağış/Hafta","寄付数/週","주당 지원 내역","Помощь/неделя","التبرعات/الأسبوع","Doações/semana","每周捐赠数量","每週捐贈數量"
"TID_ENTER_LINK_CODE_TITLE","Enter Link Code","Saisie du code d'association","Verbindungscode eingeben","Introducir código de enlace","Inserisci codice di collegamento","Voer koppelcode in","Skriv inn tilknyttingskoden","Bağlantı Kodunu gir","関連づけコードを入力","연동 코드 입력","Введи код привязки","أدخل رمز الربط","Inserir código de vinculação","输入关联代码","輸入關聯代碼"
"TID_GOLD","Gold","OR","Gold","ORO","Oro","GOUD","GULL","Altın","ゴールド","골드","Золото","ذهب","OURO","金币","金幣"
"TID_GOLD_CAP_FULL","Gold maximum is 500 000!","Or maximum : 500 000 !","Die maximale Goldmenge ist 500.000!","La cantidad máxima de oro es de 500 000 unidades.","Il massimo dell'oro è 500.000!","De goudlimiet bedraagt 500.000!","Maksimalt antall gull er 500 000!","Maksimum Altın 500.000'dir!","最大ゴールドは500,000です！","골드 소지 한도는 500,000입니다!","Невозможно приобрести более 500 000 золота!","الحد الأقصى للذهب هو 500000!","O máximo de ouro é 500.000!","金币最大储量为500000！","金幣上限為 500,000！"
"TID_HINT_BATTLE_PRO1","Lure troops to your side of the Arena to engage them with your Crown Towers.","Attirez les combattants de votre côté de l'arène pour les attaquer avec vos tours couronnées.","Locke Einheiten auf deine Seite der Arena, um sie mit deinen Kronentürmen zu bekämpfen.","Atrae a las tropas enemigas hasta tu lado de la arena para atacarlas con las torres de coronas.","Attira le truppe sul tuo lato dell'arena per attaccarle con le tue torri della corona.","Lok eenheden naar jouw kant van de arena om ze met jouw kroontorens aan te vallen.","Lokk tropper til din side av arenaen og angrip dem med kronetårnene dine.","Taç Kulelerinle meşgul etmek için birlikleri Arenanın kendi tarafına çek.","ユニットをアリーナの自陣側まで引きつけて\nクラウンタワーで迎え撃ちましょう。","적들을 자신의 아레나 쪽으로 유도해 크라운 타워로 공격하세요.","Перемани войска на свою половину арены, чтобы за дело взялись королевские башни.","أغوِ القوات للانضمام إلى جانبك في الساحة لإشراكهم في أبراج التاج الخاصة بك.","Atraia as tropas para o seu lado da arena para atacá-las com as suas Torres da Coroa.","将敌军部队引诱到竞技场的己方一侧，然后用皇家塔对付他们。","將對方的部隊引誘到你的那一側，並讓你的皇家塔來對付他們。"
"TID_HINT_BATTLE_PRO3","X-Bows and Mortars can directly damage your opponent's Crown Towers if positioned near the middle.","Les arcs-X et le mortier peuvent infliger des dégâts directs aux tours couronnées de votre adversaire s'ils sont positionnés près du centre de l'arène.","X-Bogen und Minenwerfer können gegnerischen Kronentürmen direkt schaden, wenn sie nahe der Mitte positioniert werden.","Las ballestas y los morteros pueden dañar directamente las torres de coronas enemigas si los colocas cerca del centro de la arena.","Archi-X e mortai possono danneggiare direttamente le torri della corona del tuo avversario se posizionati vicino al centro.","X-bogen en mortieren kunnen rechtstreeks schade toebrengen aan de kroontorens van je tegenstander als je ze in het midden plaatst.","X-buer og mortere kan skade motstanderens kronetårn direkte hvis de plasseres nær midten.","X-Yayı ve Havanlar ortaya yakınsa doğrudan rakibinin Taç Kulelerine hasar verir.","巨大クロスボウや迫撃砲は、中央付近に\n配置すると対戦相手のクラウンタワーを\n直接攻撃できます。","대형 석궁이나 박격포는 중간 지점에 배치하면 상대방의 크라운 타워를 직접 공격할 수 있습니다.","Арбалеты и мортиры могут навредить королевским башням, если поставить их в середине.","يمكن للأقواس ومدافع الهاون التسبب في ضرر مباشر على أبراج التاج الخاصة بخصمك إن تم وضعها قرب الوسط.","As X-Bestas e os Morteiros podem danificar diretamente as Torres da Coroa do adversário se forem posicionados perto do centro.","将x连弩和迫击炮部署在中部时，它们可以直接对敌军的皇家塔造成伤害。","如果將X連弩和迫擊砲設置在中央，可以直接對敵人的皇家塔造成傷害。"
"TID_HINT_CHEST_BASICS1","Rarer chests contain more cards and Gold.","Les coffres plus rares contiennent davantage de cartes et d'or.","Seltenere Truhen enthalten mehr Karten und Gold.","Los cofres especiales contienen más cartas y oro.","I bauli più rari contengono più carte e oro.","Zeldzamere kisten bevatten meer kaarten en goud.","Sjeldne kister inneholder flere kort og mer gull.","Daha ender sandıklar daha fazla kart ve Altın içerir.","レア度の高いチェストほど、カードやゴールドが\nたくさん入っています。","더 희귀한 상자에는 보다 많은 카드와 골드가 들어있습니다.","В редких сундуках больше карт и золота.","تحتوي الصناديق النادرة على المزيد من البطاقات والذهب.","Baús mais raros contêm mais cartas e ouro.","宝箱越稀有，里面的卡牌和金币就越多。","寶箱的品質越稀有，就會包含越多的卡片與金幣。"
"TID_HINT_CHEST_BASICS2","Higher Arena chests contain more cards and Gold.","Les coffres des meilleures arènes contiennent davantage de cartes et d'or.","Truhen aus höheren Arenen enthalten mehr Karten und Gold.","Los cofres de las arenas superiores contienen más cartas y oro.","I bauli dell'arena di livello più alto contengono più carte e oro.","Kisten van hogere arena's bevatten meer kaarten en goud.","Kister i høyere arenaer inneholder flere kort og mer gull.","Daha yüksek Arena sandıkları daha fazla kart ve Altın içerir.","アリーナレベルの高いチェストほど\nカードやゴールドがたくさん入っています。","상위 아레나 상자에는 보다 많은 카드와 골드가 들어있습니다.","В сундуках более сложных арен больше карт и золота.","تحتوي صناديق الساحة الأعلى على المزيد من البطاقات والذهب.","Baús de arena superiores contêm mais cartas e ouro.","等级越高的竞技场，给予的宝箱所包含的卡牌和金币就越多。","你可以從越高檔的鬥技場寶箱中獲得更多的卡片與金幣。"
"TID_HINT_DEPLOY_AREA","You can deploy on your opponent's side of the Arena after destroying one of their Crown Towers.","Vous pouvez déployer des troupes du côté de l'arène attribué à votre adversaire après avoir détruit l'une de ses tours couronnées.","Du kannst Einheiten auf der gegnerischen Arenaseite entsenden, nachdem du einen der Kronentürme zerstört hast.","Podrás desplegar unidades en el lado del rival después de destruir una de sus torres de coronas.","Nell'arena puoi schierare sul lato del tuo avversario dopo aver distrutto una delle sue torri della corona.","Je kunt eenheden inzetten aan de arenakant van de tegenstander nadat je een van de kroontorens hebt vernietigd.","Du kan utplassere på den andre siden av arenaen når du har ødelagt en av motstanderens kronetårn.","Rakibin Taç Kulelerinden birini yok ettikten sonra Arenasına mevzilendirme yapabilirsin.","クラウンタワーを1つでも壊すと、ユニットを\n敵陣側に直接投入できるようになります。","상대의 크라운 타워 중 하나를 파괴하면 상대방 쪽 아레나에도 유닛을 배치할 수 있습니다.","После уничтожения одной из королевских башен ты сможешь вводить войска на вражеской части арены.","يمكنك النشر على جانب خصومك في الساحة بعد تدمير أحد أبراج التاج الخاصة بهم.","Você pode mobilizar recursos no lado da arena do seu adversário depois de destruir uma das Torres da Coroa dele.","摧毁敌军的皇家塔后，您就可以在竞技场的对手方向部署部队。","你可以在破壞對方的任一座皇家塔後，在對方的領域進行部署。"
"TID_HINT_DIRECT_DAMAGE","Damage spells like the Fireball deal half damage to Crown Towers.","Les sorts d'attaque comme la boule de feu infligent deux fois moins de dégâts aux tours couronnées.","Schadenzauber (wie der Feuerball) fügen Kronentürmen halben Schaden zu.","Los hechizos que infligen daño, como la bola de fuego, causan la mitad de estragos en las torres de coronas.","Gli incantesimi di danno come la Sfera infuocata infliggono la metà del danno alle torri della corona.","Schadespreuken zoals de vuurbalspreuk veroorzaken half zo veel schade aan kroontorens.","Skadeformler, slik som ildkulen, påfører kronetårnene halv skade.","Alev Topu gibi hasar büyüleri Taç Kulelerine yarı oranda hasar verir.","ファイアボールなどのダメージ呪文は\nクラウンタワーには半分のダメージしか\n与えられません。","파이어 볼과 같은 공격 마법은 크라운 타워에 절반의 피해만 줍니다.","Заклинания, вроде огненного шара, наносят только половину урона королевской башне.","تعويذات الضرر مثل الكرات النارية تسبب نصف الضرر لأبراج التاج.","Feitiços de dano como a bola de fogo causam a metade do dano a Torres da Coroa.","火球等伤害法术对皇家塔的伤害只有一半大小。","傷害型法術如火球，對皇家塔僅能造成原本一半的傷害。"
"TID_HINT_DONATE_REWARDS","Donating cards to your Clan gives experience and Gold, and makes you feel all warm and fuzzy inside.","Le don de cartes à votre clan vous rapporte de l'expérience et de l'or, et vous emplit de joie et de chaleur.","Wenn du deinem Clan Karten spendest, bekommst du Erfahrung und Gold - und kannst dich richtig gut fühlen.","Al donar cartas a tu clan conseguirás experiencia y oro, además de un sentimiento de bienestar interior.","Donare carte al tuo clan procura esperienza e oro. Inoltre ti fa sentire incredibilmente generoso.","Als je kaarten doneert aan je clan krijg je ervaring en goud. Bovendien geeft het je een warm en goed gevoel.","Når du gir bort kort til klanen din, får du erfaring og gull, og du føler deg varm og lykkelig etterpå.","Klanına kart bağışlayarak deneyim ve Altın kazanır, kendini iyi hissedersin.","クランにカードを寄付すると、経験値と\nゴールドをもらえます。人助けにもなって\n心がほっこりしますよ！","카드를 클랜에 지원하면 경험치와 골드를 받습니다. 덤으로 마음까지 따뜻해집니다.","Пожертвование карт соклановцам дает золото и опыт, а еще от этого становится теплее внутри.","التبرع بالبطاقات لقبيلتك يمنح الخبرة والذهب، ويشعرك بالدفء والسعادة في داخلك.","Doar cartas ao seu clã dá experiência e ouro e faz você se sentir a melhor pessoa do mundo.","向部落捐赠卡牌不仅可以让您获得经验值和金币，还能让您在部落内更受欢迎。","送出增援卡片給你的部落夥伴可以獲得經驗值和金幣，也會讓你的內心有溫暖充實的感覺。"
