"TID","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT"
"TID_NPC_28","Trainer Dent","Instructeur Dent","Ausbilder Beul","Maestro Daniel","Maestro Dentro","Trainer Daan","Trener Barsken","Eğitimci Dent","トレーナー・デント","덴트 교관","Тренер Дент","المدرب دينت","Treinador Dent","训练师登特","訓練師丹特"
"TID_NPC_29","Trainer Marvin","Instructeur Marvin","Ausbilder Marvin","Maestro Miguel","Maestro Marvin","Trainer Marvin","Trainer Marvin","Eğitimci Marvin","トレーナー・マービン","마빈 교관","Тренер Марвин","المدرب مارفين","Treinador Marvin","训练师马文","訓練師馬文"
"TID_NPC_30","Trainer Sneezy","Instructeur Atchoum","Ausbilder Niesi","Maestro Servando","Maestro Sneezy","Trainer Pepijn","Trener Bøyle","Eğitimci Hapşuruk","トレーナー・スニージー","스니지 교관","Тренер Зевака","المدرب سنيزي","Treinador Sneezy","训练师斯奈斯","訓練師史尼吉"
"TID_NPC_31","Trainer Whisker","Instructeur Moustache","Ausbilder Bart","Maestro Ramón","Maestro Whisker","Trainer Whisker","Trener Værhår","Eğitimci Bıyık","トレーナー・ウィスカー","위스커 교관","Тренер Вискер","المدرب ويسكر","Treinador Whisker","训练师威斯克","訓練師鬚鬚"
"TID_NPC_32","Trainer Snow","Instructeur Neige","Ausbilder Snow","Maestro Simón","Maestro Snow","Trainer Snow","Trener Snø","Eğitimci Kar","トレーナー・スノウ","스노우 교관","Тренер Сноу","المدرب سنو","Treinador Snow","训练师斯诺","訓練師史諾"
"TID_NPC_33","Trainer Sleepy","Instructeur Dormeur","Ausbilder Müdi","Maestro Sebastián","Maestro Sleepy","Trainer Dommel","Trener Søvnig","Eğitimci Uykucu","トレーナー・スリーピー","슬리피 교관","Тренер Засоня","المدرب سليبي","Treinador Sleepy","训练师斯里派","訓練師愛困"
"TID_NPC_34","Trainer Freeze","Instructeur Gel","Ausbilder Frosti","Maestro Francisco","Maestro Freeze","Trainer de Vries","Trener Fryse","Eğitimci Ayaz","トレーナー・フリーズ","프리즈 교관","Тренер Мороз","المدرب فريز","Treinador Freeze","训练师弗里兹","訓練師冰凍"
"TID_NPC_35","Trainer Vincent","Instructeur Vincent","Ausbilder Vincent","Maestro Vicente","Maestro Vincent","Trainer Vincent","Trener Vegard","Eğitimci Vincent","トレーナー・ヴィンセント","빈센트 교관","Тренер Винсент","المدرب فينسينت","Treinador Vincent","训练师文森特","訓練師文森"
"TID_NPC_36","Trainer Faker","Instructeur Charlatan","Ausbilder Trickser","Maestro Fabio","Maestro Faker","Trainer Gerrit","Trener Jukse","Eğitimci Sahtekar","トレーナー・フェイカー","페이커 교관","Тренер Плут","المدرب فايكر","Treinador Faker","训练师法克尔","訓練師斐克"
"TID_NPC_37","Trainer Léon","Instructeur Léon","Ausbilder Léon","Maestro León","Maestro Léon","Trainer Léon","Trener Leon","Eğitimci Léon","トレーナー・レオン","레옹 교관","Тренер Леон","المدرب ليون","Treinador Léon","训练师雷昂","訓練師里昂"
"TID_NPC_38","Trainer Happy","Instructeur Joyeux","Ausbilder Glückli","Maestro Hernando","Maestro Happy","Trainer Wessel","Trener Lystig","Eğitimci Mutlu","トレーナー・ハッピー","해피 교관","Тренер Счастье","المدرب هابي","Treinador Happy","训练师哈皮","訓練師黑皮"
"TID_NPC_39","Trainer Louis","Instructeur Louis","Ausbilder Louis","Maestro Luis","Maestro Louis","Trainer Louis","Trener Luis","Eğitimci Louis","トレーナー・ルイス","루이스 교관","Тренер Луис","المدرب لويس","Treinador Louis","训练师路易斯","訓練師路易斯"
"TID_NPC_40","Trainer Quincy","Instructeur Quincy","Ausbilder Quincy","Maestro Federico","Maestro Quincy","Trainer Quincy","Trener Knut","Eğitimci Quincy","トレーナー・クインシー","퀸시 교관","Тренер Квинси","المدرب كوينسي","Treinador Quincy","训练师昆西","訓練師昆西"
"TID_NPC_41","Trainer Max","Instructeur Max","Ausbilder Max","Maestro Max","Maestro Max","Trainer Max","Trener Max","Eğitimci Max","トレーナー・マックス","맥스 교관","Тренер Макс","المدرب ماكس","Treinador Max","训练师麦克斯","訓練師麥克斯"
"TID_TOTAL_POINTS","Clan Score","Score du clan :","Clanpunkte","Puntos del clan","Punteggio clan:","Clanscore:","Klanpoeng","Klan Skoru:","クランスコア","클랜 점수","Счет клана","نتيجة القبيلة","Pontuação do clã:","部落奖杯","部落分數"
"TID_DONATIONS","Donations/week:","Dons/semaine :","Spenden/Woche:","Donaciones/semana","Donazioni/settimana:","Donaties/week:","Donasjoner/uke:","Bağış/hafta:","寄付数/週：","주당 지원량","Пожертвования/неделю","التبرعات/الأسبوع","Doações/semana:","每周捐赠数量：","每周增援："
"TID_GUILD_TYPE","Type:","Type :","Typ","Tipo","Tipo:","Type:","Type:","Tür:","タイプ：","유형","Тип:","النوع:","Tipo:","类型：","類型："
"TID_MEMBERS","Members","Membres","Mitglieder","Miembros","Membri:","Leden","Medlemmer","Üyeler","メンバー","클랜원","Участники","الأعضاء","Membros","成员","成員"
"TID_CARD_RARITY","Rarity:","Rareté :","Seltenheit","Calidad:","Rarità:","Zeldzaamheid:","Forekomst:","Enderlik:","レア度：","희귀도:","Редкость:","مدى الندرة","Raridade:","稀有度：","稀有度："
"TID_CARD_TYPE","Type:","Type :","Typ","Tipo:","Tipo:","Type:","Type:","Tür:","タイプ：","유형:","Тип:","النوع","Tipo:","类型：","類型："
"TID_CARD_TYPE_BUILDING","Building","Bâtiment","Gebäude","Estructura","Edificio","Gebouw","Bygning","Bina","建物","건물","Здание","المبنى","Construção","建筑","建築"
"TID_CARD_TYPE_CHARACTER","Troop","Combattant","Einheit","Tropa","Truppa","Eenheid","Tropp","Birlik","ユニット","유닛","Войска","قوات","Tropa","部队","部隊"
"TID_CARD_TYPE_SPELL","Spell","Sort","Zauber","Hechizo","Incantesimo","Spreuk","Formel","Büyü","呪文","마법","Заклинание","تعويذة","Feitiço","法术","法術型"
"TID_CARD_TYPE_TRAP","Trap","Piège","Falle","Trampa","Trappola","Val","Felle","Tuzak","トラップ","함정","Ловушка","فخ","Armadilha","陷阱","陷阱"
"TID_SHUTDOWN_STARTED","Game is closing for a short maintenance break in 5 minutes. Battles are disabled during the break.","Le jeu fermera dans 5 minutes pour cause de maintenance. Les combats seront désactivés pendant la maintenance.","Das Spiel schließt in 5 Minuten für eine kurze Wartungspause. Während der Pause sind keine Kämpfe möglich.","Dentro de 5 minutos, el juego se detendrá por motivos de mantenimiento. Las batallas estarán desactivadas durante la pausa.","Il gioco si chiuderà per un breve intervento di manutenzione tra 5 minuti. Durante la manutenzione le battaglie non saranno possibili.","Het spel zal wegens onderhoud over 5 minuten worden afgesloten. Gedurende het onderhoud zijn er geen gevechten mogelijk.","Spillet lukkes for en kort vedlikeholdspause på 5 minutter. Kamper er deaktivert i pausen.","Oyun kısa bir bakım için 5 dakikalığına kapanacak. Bu arada Savaş yapılamaz.","5分後に短時間のメンテナンスを開始します。メンテナンス中はバトルができなくなります。","5분 후에 게임이 종료되고 일시 점검이 시작됩니다. 점검 중에는 전투를 할 수 없습니다.","Игра закроется на небольшой технический перерыв через 5 минут. Сражаться в этот период будет невозможно.","سيتم إغلاق اللعبة لفاصل صيانة قصير خلال 5 دقائق. تُعطل المعارك أثناء الفاصل.","O jogo será suspenso para manutenção em 5 minutos. As batalhas ficarão desativadas durante esse período.","系统即将开始维护，游戏将在5分钟后关闭。很抱歉，在此期间无法进行战斗。","系統即將開始維護，遊戲將在 5 分鐘後關閉。很抱歉，在此期間無法進行對戰。"
"TID_SHUTDOWN_BATTLE_DISABLED","Battles are disabled until the maintenance break is over.","Les combats sont désactivés jusqu'à la fin de la maintenance.","Kämpfe sind deaktiviert, bis die Wartungspause vorüber ist.","Las batallas estarán desactivadas hasta que terminen las labores de mantenimiento.","Le battaglie non saranno possibili fino al termine della manutenzione.","Gedurende het onderhoud zijn er geen gevechten mogelijk.","Kamper er deaktivert til vedlikeholdspausen er over.","Bakım bitinceye kadar Savaş yapılamaz.","メンテナンスが終わるまでバトルはできません。","점검이 끝날 때까지 전투를 시작할 수 없습니다.","Сражения отключены до завершения технического перерыва.","المعارك مُعطلة حتى انتهاء فاصل الصيانة.","As batalhas serão desativadas até acabar a manutenção.","维护结束前不能进行战斗。","維護結束前，不能進行對戰，請耐心等待。"
"TID_COMMON_CARD","Common Card","Carte commune","Gewöhnliche Karte","Carta común","Carta comune","Gewone kaart","Vanlig kort","Sıradan Kart","ノーマルカード","일반 카드","Обычная карта","بطاقة عادية","Carta comum","普通卡牌","普通卡片"
"TID_RARE_CARD","Rare Card","Carte rare","Seltene Karte","Carta especial","Carta rara","Zeldzame kaart","Sjeldent kort","Ender Kart","レアカード","희귀 카드","Редкая карта","بطاقة نادرة","Carta rara","稀有卡牌","稀有卡片"
"TID_EPIC_CARD","Epic Card","Carte épique","Epische Karte","Carta épica","Carta epica","Epische kaart","Episk kort","Destansı Kart","スーパーレアカード","영웅 카드","Эпическая карта","بطاقة ممتازة","Carta épica","史诗卡牌","史詩卡片"
"TID_LEGENDARY_CARD","Legendary Card","Carte légendaire","Legendäre Karte","Carta legendaria","Carta leggendaria","Legendarische kaart","Legendarisk kort","Efsanevi Kart","ウルトラレアカード","전설 카드","Легендарная карта","بطاقة أسطورية","Carta lendária","传奇卡牌","傳說卡片"
"TID_RESOURCE_CARD","Resource Card","Carte ressource","Ressourcenkarte","Carta de recursos","Carta risorse","Grondstoffenkaart","Ressurskort","Kaynak Kartı","資源カード","자원 카드","Карта ресурсов","بطاقة موارد","Carta de recursos","资源卡牌","資源卡片"
"TID_YOUR_GOLD","Your gold:","Votre or :","Dein Gold:","Tu oro:","Il tuo oro:","Jouw goud:","Ditt gull:","Altının:","あなたのゴールド：","내 골드","Твое золото:","الذهب الخاص بك:","Seu ouro:","您的金币：","你的黃金："
"TID_YOUR_GEMS","Your gems:","Vos gemmes :","Deine Juwelen:","Tus gemas:","Le tue gemme:","Jouw edelstenen:","Dine juveler:","Taşların:","あなたのエメラルド：","내 보석","Твои кристаллы:","الجواهر الخاصة بك:","Suas gemas:","您的宝石：","你的寶石："
"TID_SELECT_CARD","Select Card to Request","Choix d'une carte à demander","Karte auswählen","Selecciona la carta a pedir","Seleziona la carta da richiedere","Kies een kaart om te vragen","Velg kortet du vil be om","İstemek için Kart Seç","リクエストするカードを選択","요청할 카드를 선택하세요","Выбери карту для запроса","اختر بطاقة ليتم استبدالها","Selecione a carta a pedir","选择要请求增援的卡牌","選擇要請求的卡片"
"TID_CANNOT_REQUEST_YET","You have to wait until you can request cards","Vous devez patienter avant de pouvoir demander des cartes.","Du musst warten, bis du Karten anfordern kannst.","Tienes que esperar para volver a pedir cartas.","Devi aspettare prima di poter richiedere carte","Je moet wachten tot je om kaarten kunt vragen","Du må vente til du kan be om kort","Kart istemek için beklemen gerek","しばらくお待ちください。\nカードは連続でリクエストできません","지금은 카드를 요청할 수 없습니다.","Нужно подождать, пока сможешь отправлять запросы","عليك الانتظار حتى يمكنك طلب البطاقات","É preciso esperar para pedir cartas.","您需要先等待才能请求增援","需要一段時間後才能請求增援"
"TID_TOTAL_TROPHIES","Clan Trophies:","Trophées du clan :","Clantrophäen:","Trofeos del clan:","Trofei del clan:","Clantrofeeën:","Klantrofeer:","Klan Kupaları:","トロフィー総合：","클랜 트로피:","Трофеи клана:","كؤوس القبيلة","Troféus do clã:","部落奖杯：","部落獎盃："
"TID_TEAM_UNLOCKS","Clans","Clans","Clans","Clanes","Clan","Clans","Klaner","Klan","クラン","클랜","Кланы","قبائل","Clãs","部落","部落"
"TID_CREATE_A_TEAM","Create or join a clan for:","Créez ou rejoignez un clan pour :","Clan gründen oder beitreten für:","Crea o únete a un clan para acceder:","Crea o unisciti a un clan per:","Richt een clan op of sluit je aan:","Opprett eller bli med i en klan for å få:","Klan oluşturarak/klana katılarak erişeceklerin:","クランを作るまたは参加すると...","클랜 생성 또는 가입 시 혜택","Создать клан или присоединиться к клану, чтобы:","إنشاء قبيلة أو الانضمام إليها مقابل:","Crie ou participe de um clã para:","创建或加入部落即可：","建立或加入部落可以："
"TID_TEAM_PERKS","Clan chat, card requests and friendly matches with clanmates!","utiliser le chat du clan, demander des cartes et affronter les membres du clan en combat amical !","Clanchat, Kartenanfragen und Testspiele mit Clankameraden!","al chat del clan, a las peticiones de cartas y a las partidas amistosas con los aliados.","Chat di clan, richieste di carte e scontri amichevoli con i membri del clan!","chat met clangenoten, vraag om kaarten en speel vriendschappelijke gevechten!","Klanchat, forespørsler om kort, og vennskapskamper mot klanvenner!","Klan arkadaşlarıyla klan sohbeti, klan istekleri ve dostluk maçları!","クランチャット、カードのリクエスト\nクランメンバーとのフレンドバトルが\n可能に！","클랜 채팅, 카드 요청 및 클랜원과의 친선 매치가 가능합니다!","чатиться, просить карты и проводить дружеские сражения с соклановцами!","محادثة القبيلة، طلب البطاقات والمباريات الودية مع زملاء القبيلة!","Bate-papo do clã, pedidos de cartas e partidas amigáveis com os colegas.","加入部落聊天、索取卡牌或与部落成员进行友谊赛！","和部落夥伴一起聊天、送出卡片請求以及和好友進行競賽！"
"TID_BADGE","Badge","Écusson :","Abzeichen","Emblema","Decorazione","Badge","Merke","Rozet","紋章","배지","Символ","الشارة","Insígnia","徽章","徽章"
"TID_DESCRIPTION","Description","Description :","Beschreibung","Descripción","Descrizione","Beschrijving","Beskrivelse","Açıklama","説明","설명","Описание","الوصف","Descrição","描述","說明"
"TID_GUILD_NAME","Clan Name","Nom du clan :","Clanname","Nombre del clan","Nome clan","Clannaam","Klannavn","Klan Adı","クラン名","클랜 이름","Название клана","اسم القبيلة","Nome do clã","部落名称","部落名稱"
"TID_TROPHIES_TO_JOIN","Required trophies:","Trophées requis :","Benötigte Trophäen","Trofeos necesarios","Trofei necessari:","Vereiste trofeeën:","Nødvendige trofeer:","Gereken kupalar:","必要なトロフィー数：","트로피 조건","Необходимо трофеев","الكؤوس المطلوبة","Troféus necessários:","所需奖杯：","需要獎盃數："
"TID_GUILD_LOCATION","Location:","Origine :","Region","Ubicación","Posizione:","Locatie:","Sted:","Konum:","所在地：","지역","Расположение","الموقع","Localização:","位置：","公會位置："
"TID_MEMBER_DONATED","Donated","Donations","Gespendet","Donado:","Donato","Gedoneerd","Donert","Bağışlanan","寄付","지원","Пожертвов.","مُتبرع","Doado","已捐赠","已增援"
"TID_TAB_JOINABLE","Clans","Clans","Clans","Clanes","Clan","Clans","Klaner","Klan","クラン","클랜","Кланы","قبائل","Clãs","部落","部落"
"TID_TAB_CREATE_ALLIANCE","Create","Créer","Gründen","Crear","Crea","Oprichten","Opprett","Oluştur","作成","생성","Создать","إنشاء","Criar","创建","建立"
"TID_TAB_CLAN_CHAT","Chat","Chat","Chat","Chat","Chat","Chat","Chat","Sohbet","チャット","채팅","Чат","محادثة","Bate-papo","聊天","聊天"
"TID_TAB_CLAN_SEARCH","Search","Rechercher","Suche","Buscar","Cerca","Zoeken","Søk","Ara","探す","검색","Поиск","بحث","Buscar","搜索","搜尋"
"TID_YOU_HAVE","You have:","Vous avez :","Du hast:","Tienes:","Hai:","Je hebt:","Du har:","Sana ait:","手持ち：","현재 보유","У тебя:","لديك:","Você tem:","您有：","你擁有："
"TID_REQUESTING_CARDS","Requesting Cards!","Demande de cartes !","Bittet um Karten!","Pidiendo cartas...","Richiesta carte!","Verzoek om kaarten!","Ber om kort!","Kart İsteniyor!","カードをリクエスト中！","카드를 요청합니다!","Нужны карты!","يتم طلب البطاقات!","Pedindo cartas!","正在请求增援！","正在請求卡片！"
"TID_NEW_CARD_UNLOCKED","Unlocked!","Débloquée !","Freigeschaltet!","¡Desbloqueada!","Sbloccato!","Ontgrendeld!","Opplåst!","Açıldı!","アンロック！","잠금 해제!","Доступно!","مفتوح!","Desbloqueada!","已解锁新卡牌！","已解鎖！"
"TID_TAB_PLAYER_RANGINGS","Players","Joueurs","Spieler","Jugadores","Giocatori","Spelers","Spillere","Oyuncular","プレイヤー","플레이어","Игроки","لاعبون","Jogadores","玩家","玩家"
"TID_TAB_ALLIANCE_RANGINGS","Clans","Clans","Clans","Clanes","Clan","Clans","Klaner","Klan","クラン","클랜","Кланы","قبائل","Clãs","部落","部落"
"TID_TAB_FRIEND_RANGINGS","Friends","Amis","Freunde","Amigos","Amici","Vrienden","Venner","Arkadaşlar","フレンド","친구","Друзья","أصدقاء","Amigos","好友","好友"
"TID_BATTLE_CARDS","Battle Deck","Cartes de combat","Kampfdeck","Baraja bélica","Mazzo da battaglia","Gevechtskaarten","Kampkort","Savaş Destesi","バトルデッキ","전투 덱","Боевая колода","مجموعة المعركة","Baralho de batalha","出战卡组","戰鬥牌組"
"TID_KINGS_TOWER","King's Tower","Tour du roi","Königsturm","Torre del rey","Torre del re","Koningstoren","Kongetårn","Kral Kulesi","キングタワー","킹스 타워","Башня короля","برج الملك","Torre do Rei","国王防御塔","國王之塔"
"TID_ARENA_TOWER","Arena Towers","Tours d'arène","Arenatürme","Torres de la arena","Torri dell'arena","Arenatorens","Arenatårn","Arena Kuleleri","アリーナタワー","아레나 타워","Башни арены","أبراج الساحة","T. da Arena","竞技场防御塔","鬥技場之塔"
"TID_WINS","Wins","Victoires","Siege","Victorias","Vittorie","Gewonnen","Seire","Galibiyet","勝利","승리","Победы","انتصارات","Vitórias","胜利次数","勝場"
"TID_NEW","New!","Nouv.","Neu!","¡Nuevo!","Nuovo!","Nieuw!","Nytt!","Yeni!","New!","신규!","Новое!","جديد!","Novo!","新！","最新！"
"TID_SPELL_UPGRADE_EXP","Upgrade Gives","L'amélioration donne","Verbesserung gewährt","La mejora da","Miglioramento dà","Upgrade levert op","Oppgraderingen gir","Yükseltmenin Verdikleri:","アップグレード経験値","업그레이드 보상","Улучшение даст","منح الترقيات","A melhoria dá","升级产出","升級可提供"
"TID_BUTTON_DEMOTE","Demote","Rétrograder","Degradieren","Degradar","Retrocedi","Degraderen","Degrader","Rütbesini İndir","降格","강등","Понизить","تخفيض الرتبة","Rebaixar","降职","降級"
"TID_BUTTON_PROMOTE","Promote","Promouvoir","Befördern","Ascender","Promuovi","Promoveren","Forfrem","Terfi Ettir","昇格","승급","Повысить","ترقية","Promover","晋升","晉升"
"TID_BUTTON_KICK","Kick","Exclure","Rauswerfen","Expulsar","Espelli","Eruit zetten","Gi sparken","At","追放","추방","Изгнать","طرد","Expulsar","踢出","踢出"
"TID_BUTTON_INVITE","Invite","Inviter","Einladen","Invitar","Invita","Uitnodigen","Inviter","Davet Et","招待","초대","Пригласить","دعوة","Convidar","邀请","邀請"
"TID_UNLOCKS_AT","Unlocks at","Déblocage","Erhältlich ab","Se libera en","Si sblocca in","Beschikbaar","Låses opp på","Gereken:","アンロックレベル：","잠금 해제","Откроется на:","يتم الفتح عند","Liberada em","解锁位置","開放時機："
"TID_LOCKED_CARD_PRESSED","Can be found in <ARENA_NAME> and above","Vous la trouverez à partir de : <ARENA_NAME>.","Kann ab <ARENA_NAME> gefunden werden.","La encontrarás en <ARENA_NAME> y superiores.","Puoi trovarla nell' <ARENA_NAME> e superiori","Kun je vinden in <ARENA_NAME> en hoger","Du finner det i <ARENA_NAME> eller høyere","<ARENA_NAME> ve üzerinde bulunabilir","<ARENA_NAME>以上で入手可能","<ARENA_NAME> 이상에서 찾을 수 있습니다.","Доступно на «<ARENA_NAME>» или выше","يمكن العثور عليها في <ARENA_NAME> وما أعلى","Pode ser encontrada na <ARENA_NAME> e acima.","可以在<ARENA_NAME>或更高等级竞技场解锁","可以在<ARENA_NAME>以及更高階的競技場找到"
"TID_START_TRAINING_CONFIRMATION_TITLE","Training Camp","Camp d'entraînement","Ausbildungslager","Campamento de entrenamiento","Campo di prova","Trainingskamp","Treningsleir","Eğitim Kampı","訓練キャンプ","훈련 캠프","Учебный лагерь","معسكر التدريب","Campo de treino","训练营","訓練營"
"TID_START_TRAINING_CONFIRMATION_TEXT","Do you want to start a training match?\n\nNote: you don't get chests from the Training Camp.","Vous voulez commencer un combat d'entraînement ?\n\nRemarque : le camp d'entraînement\nne vous octroie pas de coffres.","Möchtest du einen Trainingskampf beginnen?\n\nInfo: Du bekommst im Ausbildungslager keine Truhen.","¿Quieres empezar una partida de entrenamiento?\n\nNota: No conseguirás cofres.","Vuoi iniziare uno scontro di prova?\n\nNota: non ottieni bauli dal campo di prova.","Wil je een oefengevecht starten?\n\nLet op: het trainingskamp levert geen kisten op.","Vil du starte en treningskamp?\n\nMerk: Du får ikke kister i treningsleiren.","Eğitim maçına başlamak ister misin?\n\nNot: Eğitim Kampından sandık alamazsın.","訓練対戦を始めますか？\n\n注意：勝っても宝箱は入手できません。","훈련 매치를 시작하시겠습니까?\n\n경고: 훈련 캠프에서는 상자를 얻지 못합니다.","Хочешь начать тренировочный матч?\n\nВнимание: в лагере ты не получишь сундуков.","هل تريد بدء مباراة تدريبية؟\n\nملاحظة: لن تحصل على صناديق من معسكر التدريب.","Quer começar uma partida de treinamento?\n\nNota: você não ganha baús no campo de treino.","您想进行对战训练吗？\n\n注意：您不会从训练营获得宝箱。","你要進行訓練賽嗎？\n\n注意：你不會在訓練營的活動中獲得寶箱。"
"TID_VISITOR_TEAM","Visitor","Visiteur","Gast","Visitante","Ospite","Bezoeker","Bortelag","Konuk","ビジター","방문자","Нападающий","زائر","Visitante","客场","客場"
"TID_HOME_TEAM","Home","Domicile","Heim","Local","Casa","Thuis","Hjemmelag","Ev Sahibi","ホーム","홈","Защитник","مضيف","Base","主场","主隊"
"TID_YOU_RECEIVED_CARDS","Cards Received!","Cartes reçues !","Karten erhalten!","¡Cartas recibidas!","Carte ricevute!","Kaarten ontvangen!","Kort mottatt!","Kartlar Alındı!","カードを入手！","카드 받음!","Получены карты!","البطاقات المتلقاة!","Cartas recebidas!","卡牌已收到！","已收到卡片！"
"TID_OVERTIME","Overtime","Temps extra","Noch:","Tiempo extra","Supplem.","Extra tijd","Overtid","Uzatma","延長タイム","오버타임","Доп. время","وقت إضافي","Tempo extra","加时赛","延長賽"
"TID_MATCH_OVER","Match Over!","Combat terminé !","Kampf vorbei!","¡Fin de la partida!","Scontro terminato!","Gevecht afgelopen!","Kamp slutt!","Maç Bitti!","バトル終了！","전투 종료!","Конец боя!","انتهت المباراة!","A partida acabou!","对战结束！","對戰結束！"
"TID_2X_ELIXIR","2x Elixir Production","Production d'élixir x2","Doppelte Elixierproduktion","Producción de elixir x2","Produzione elisir x2","2 x elixirproductie","2x eliksirproduksjon","2 kat İksir Üretimi","エリクサーの生産量x2","엘릭서 생산 x2","х2 к производству эликсира","إنتاج إكسير 2x","Produção de elixir em dobro.","双倍圣水产量","聖水產量兩倍"
"TID_GUILD_TAG","Clan tag:","Identifiant du clan :","Clankürzel:","Código del clan","Tag del clan:","Clantag:","Klantagg:","Klan etiketi:","クランタグ：","클랜 태그","Тег клана","بطاقة تعريف القبيلة:","Código do clã:","部落独有标签:","部落標籤："
"TID_ALLIANCE_DEMOTE_TITLE","Demote","Rétrograder","Degradieren","Degradar","Retrocedi","Degraderen","Degrader","Rütbesini İndir","降格","강등","Понизить","تخفيض الرتبة","Rebaixar","降职","降級"
"TID_ALLIANCE_PROMOTE_TITLE","Promote","Promouvoir","Befördern","Ascender","Promuovi","Promoveren","Forfrem","Terfi Ettir","昇格","승급","Повысить","ترقية","Promover","晋升","晉升"
"TID_ALLIANCE_KICK_TITLE","Kick","Exclure","Rauswerfen","Expulsar","Espelli","Eruit zetten","Gi sparken","At","追放","추방","Изгнать","طرد","Expulsar","踢出","踢出"
"TID_ALLIANCE_DEMOTE_CONFIRMATION","Do you really want to demote <name> to <role>?","Voulez-vous vraiment rétrograder <name> au rang de <role> ?","Möchtest du <name> wirklich in die Position <role> degradieren?","¿Seguro que quieres degradar a <name> a <role>?","Vuoi veramente retrocedere <name> a <role>?","Weet je zeker dat je <name> wilt degraderen tot <role>?","Vil du virkelig degradere <name> til <role>?","<name> adlı oyuncunun rütbesini <role> olarak indirmek istiyor musun?","<name>を<role>に降格してよろしいですか？","정말로 <name> 님을 <role> 등급으로 강등시키시겠습니까?","Точно хочешь понизить игрока <name> до роли <role>?","هل تريد حقًا تخفيض رتبة <name> إلى <role>؟","Quer mesmo rebaixar <name> a <role>?","您确定要将<name>降职为<role>吗？","真的要將 <name> 降級至「<role>」嗎？"
"TID_ALLIANCE_PROMOTE_CONFIRMATION","Do you really want to promote <name> to <role>?","Voulez-vous vraiment promouvoir <name> au rang de <role> ?","Möchtest du <name> wirklich in die Position <role> befördern?","¿Seguro que quieres ascender a <name> a <role>?","Vuoi veramente promuovere <name> a <role>?","Weet je zeker dat je <name> wilt promoveren tot <role>?","Vil du virkelig forfremme <name> til <role>?","<name> adlı oyuncuyu <role> rütbesine yükseltmek istiyor musun?","<name>を<role>に昇格してよろしいですか？","정말로 <name> 님을 <role> 등급으로 승급시키시겠습니까?","Точно хочешь повысить игрока <name> до роли <role>?","هل تريد حقًا ترقية <name> إلى <role>؟","Quer mesmo promover <name> a <role>?","您确定要将<name>晋升为<role>吗？","真的要將 <name> 晉升至「<role>」嗎？"
"TID_ALLIANCE_KICK_CONFIRMATION","Do you really kick <name> out of your Clan?","Voulez-vous vraiment exclure <name> de votre clan ?","Möchtest du <name> wirklich aus deinem Clan werfen?","¿Seguro que quieres expulsar a <name> del clan?","Vuoi veramente espellere <name> dal tuo clan?","Weet je zeker dat je <name> uit de clan wilt zetten?","Vil du virkelig sparke <name> ut av klanen?","<name> adlı oyuncuyu Klandan atmak istediğine emin misin?","<name>をクランから追放してよろしいですか？","정말로 <name> 님을 클랜에서 추방하시겠습니까?","Точно хочешь выгнать игрока <name> из клана?","هل تريد حقًا طرد <name> من قبيلتك؟","Quer mesmo expulsar <name> do seu clã?","您确定要将<name>踢出您部落吗？","真的要將 <name> 自你的部落中除名嗎？"
"TID_ONLINE","Online:","En ligne :","Online:","En línea:","Online:","Online:","Pålogget:","Çevrimiçi:","オンライン：","온라인:","Онлайн:","عبر الإنترنت:","On-line:","在线：","在線："
"TID_YOU_HAVE_REACHED","You have reached","Vous avez atteint","Du hast erreicht:","Has llegado a...","Hai raggiunto","Je bereikte","Du har nådd","Eriştiğin:","到達：","달성","Тебе удалось дойти","وصلت إلى","Você atingiu","您已到达","你已達到"
"TID_NEW_ARENA","Your new Arena","Votre nouvelle arène","Deine neue Arena","¡Tu nueva arena!","La tua nuova arena","Je nieuwe arena","Din nye arena","Yeni Arenan","新アリーナ：","신규 아레나","Твоя новая арена","ساحتك الجديدة","Sua nova arena","您的新竞技场","你的新鬥技場"
"TID_CHEST_REWARDS","Chest Rewards Increased","Les coffres offrent plus de récompenses.","Truhenbelohnungen erhöht","Aumento de recompensas en los cofres","Ricompense bauli aumentate","Betere kistbeloningen","Kistebelønninger økt","Sandık Ödülleri Arttı","宝箱ボーナスアップ","상자 보상 증가","Награды сундуков увеличены","زادت جوائز الصندوق","As recompensas dos baús aumentaram.","宝箱奖励已提高","寶箱獎勵已增加"
"TID_CARDS_TO_FIND","Card unlocks:","Débloque ces cartes :","Freigeschaltete Karten:","Cartas que desbloquea:","Carte sbloccate:","Kaart ontgrendelt:","Kort låses opp:","Kilidi açılan kartlar:","アンロックされるカード：","잠금 해제 카드","Доступные карты:","فتح البطاقات:","Cartas desbloqueadas:","解锁卡牌：","卡片解鎖："
"TID_ARENA_CHANGE_CONFIRM_BUTTON","Close","Fermer","Schließen","Cerrar","Chiudi","Sluiten","Lukk","Kapat","閉じる","닫기","Закрыть","إغلاق","Fechar","关闭","關閉"
"TID_SUDDEN_DEATH","Sudden Death","Mort subite","Kronen-K.-o.","Muerte súbita","Sudden death","Sudden death","Sudden death","Ani Ölüm","サドンデス","서든 데스","Внезапная смерть","هدف الصدمة","Morte Súbita","突然死亡模式","驟死賽"
